title|authors|year|isbn|isbn source file|
Sistemi embedded. Sviluppo hardware e software per sistemi dedicati|William Fornaciari, Carlo Brandolese|2007|9788871923420|isbns-scatolone2.txt|
Embedded systems design with 8051 microcontrollers|Zdravko Karakehayov|1999|9780824776961|isbns-scatolone2.txt|
Introduction to Electronics|Stephen C. Harsany|July 29, 1999|9780133597950|isbns-scatolone2.txt|
Sistemi di elaborazione. Architettura hardware e software|G. Pelagatti|1990|9788838606489|isbns-scatolone2.txt|
Controller Area Network Prototyping with Arduino|Wilfried Voss|mar 31, 2014|9781938581168|isbns-scatolone2.txt|
Microcontroller Programming and Interfacing TI MSP430|Steven F. Barrett, Daniel J. Pack|2011|9781608457137|isbns-scatolone2.txt|
The windows serial port programming handbook|Ying Bai|2005|9780849322136|isbns-scatolone2.txt|
Pick'n up the Pace -- Microcontroller Application Guide (for intermediate users)|David Benson|01/06/99|9780965416214|isbns-scatolone2.txt|
Programming and customizing the PIC microcontroller|Michael Predko|1998|9780079136459|isbns-scatolone2.txt|
Visual Basic 6.0. Aggiornare le Applicazioni a Visual Basic.net e Visual Basic 2005|???|2006|9788804542506|isbns-scatolone2.txt|
Control system design guide|Ellis, George|2004|9780122374616|isbns-scatolone2.txt|
PHP 6, Apache, MySQL|Timothy Boronczyc|2012-09-06T00:00:00+02:00|9788126525126|isbns-scatolone2.txt|
Noise reduction techniques in electronic systems|Henry W. Ott|1988|9780471850687|isbns-scatolone2.txt|
Impianti solari fotovoltaici a norme CEI. Guida per progettisti e installatori.|Francesco Groppi, Carlo Zuccaro|2007|9788889518427|isbns-scatolone2.txt|
STM32 Arm Programming for Embedded Systems|Muhammad Ali Mazidi, Shujen Chen, Eshragh Ghaemi|May 14, 2018|9780997925944|isbns-scatolone2.txt|
Tecnologie informatiche plus. Linguaggio Pascal|Paolo Camagni, Riccardo Nikolassy|2011|9788820348229|isbns-scatolone2.txt|
8051 Microcontroller: Internals, Instructions, Programming & Interfacing|Ghoshal Subrata|2010-09|9788131731437|isbns-scatolone2.txt
Controller Area Network Projects|???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???|2011|9781907920042|isbns-scatolone2.txt|
Control of induction motors|Andrzej M. Trzynadlowski|2001|9780127015101|isbns-scatolone2.txt|
Power Systems Harmonics: Fundamentals, Analysis And Filter Design|Wakileh|Aug 27, 2014|9788181287298|isbns-scatolone2.txt|
Azionamenti elettrici|Renato Manigrasso, Ferdinando Luigi Mapelli, Marco Mauri|2007|9788837117078|isbns-scatolone2.txt|
Vector control of three-phase AC machines|Nguyen Phung Quang|2008|9783540790280|isbns-scatolone2.txt|
Power Electronics for the Microprocessor Age|Takashi Kenjo|August 18, 1994|9780198565086|isbns-scatolone2.txt|
Meccanica degli Azionamenti. Azionamenti Elettrici|Giovanni Legnani, Riccardo Adamini, Monica Tiboni, Diego Tosi|2016-03-08|9788874882618|isbns-scatolone2.txt|
Vector control of AC drives|I. Boldea|1992|849344085|isbns-scatolone2.txt|
Il libro dei circuiti stampati|Hans Sutaner, Gerhard Wissler|1982|8870211762|isbns-scatolone2.txt|
Electronic circuits|U. Tietze|1991|038750608X|isbns-scatolone2.txt|
Logic and Memory Experiments Using TTL Integrated Circuits (Technibook II formerly Bugbook II, Book 2)|Peter Rony|1986|897040015|isbns-scatolone2.txt|
Digital Electronics|Roger L. Tokheim|November 6, 1998|9780028041629|isbns-scatolone2.txt|
Automazione industriale in Italia|???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???|2000|8846418336|isbns-scatolone2.txt|
Analogue and digital electronics for engineers|H. Ahmed|1984|9780521319102|isbns-scatolone3-pink.txt|
Embedded C programming and the Atmel AVR|Richard H. Barnett|2003|9781401812065|isbns-scatolone3-pink.txt|
Embedded systems design with 8051 microcontrollers|Zdravko Karakehayov|1999|9780824776961|isbns-scatolone3-pink.txt|
Digital Control of Electrical Drives|Vukosavic, Slobodan N.|2007|9788184894967|isbns-scatolone3-pink.txt|80€ su amazon; https://www.amazon.it/Digital-Control-Electrical-Slobodan-Vukosavic/dp/0387259856
Programming and interfacing the 8051 microcontroller|Sencer Yeralan|1993|9780201633658|isbns-scatolone3-pink.txt|
Pspice per Windows|Edward Brumgnach|1996|9788848102957|isbns-scatolone3-pink.txt|https://www.unilibro.it/libro/brumgnach-edward/pspice-per-windows-con-floppy-disk/9788848102957
Beginner's guide to embedded C programming|Chuck Hellebuyck|2011|9781461061250|isbns-scatolone3-pink.txt|
The 80251 microcontroller|Kenneth J. Ayala|2000|9780139075513|isbns-scatolone3-pink.txt|
Programming 16-bit PIC microcontrollers in C|Lucio Di Jasio|2007|9780750682923|isbns-scatolone3-pink.txt|
PIC micro. Progettare con i microcontrollori PIC in modo facile e veloce|Maurizio Del Corso, TIziano Galizia|2005|9788890166501|isbns-scatolone3-pink.txt|
Introduzione alla programmazione su ARM. Circuiti, architettura e sistema operativo dei calcolatori elettronici|Alessandro Simonetta|2020|9788832934267|isbns-scatolone3-pink.txt|
Digital Fundamentals|Thomas L. Floyd|1999|9780130852687|isbns-scatolone3-pink.txt|
Digital fundamentals|Thomas L. Floyd|1997|9780133984880|isbns-scatolone3-pink.txt|
The 8051 Microcontrollers & Embedded Systems|by Muhammad Ali Mazidi|Jan 01, 2005|9788131710265|isbns-scatolone3-pink.txt|
Edsim51s Guide to the 8051|???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???|2009|9781442141803|isbns-scatolone3-pink.txt|
C e sistemi Embedded. Guida pratica alla programmazione dei sistemi Embedded con i PIC16FXX e PICFXX programmati in mikroC PRO|Cosimo Morello|2011|9788897599081|isbns-scatolone3-pink.txt|
Embedded Networking with CAN and CANopen|Olaf Pfeiffer, Andrew Ayre, Christian Keydel|November 1, 2003|9780929392783|isbns-scatolone3-pink.txt|
Systems Design and the 8051|Dr Marcus O Durhham|2003|9781466271432|isbns-scatolone3-pink.txt|
Commande vectorielle sans capteur des machines asynchrones|Sébastien CAUËT (Author), Erik ETIEN (Author), Claude CHAIGNE (Author)|2005|9782746211483|isbns-scatolone3-pink.txt|https://www.amazon.com/commande-vectorielle-capteur-machines-asynchrones/dp/2746211483
Automatic control of converter-fed drives|Marian P. Kaźmierkowski|1994|9780444986603|isbns-scatolone3-pink.txt|
Architecture and Programming of 8051 Microcontroller|Alka Kalra, Sanjeev Kumar Kalra|2010|9789380386317|isbns-scatolone3-pink.txt|
Inductors and transformers for power electronics|Alex van den Bossche|2005|9781574446791|isbns-scatolone3-pink.txt|
Sistemi operativi|Harvey M. Deitel, Paul J. Deitel, David R. Choffnes|2005|9788120321687|isbns-scatolone3-pink.txt|
Harmonics and Power Systems (Electric Power Engineering)|Francisco C. De La Rosa|May 22, 2006|9780849330162|isbns-scatolone3-pink.txt|
Azionamenti elettrici di avanzamento nell'automazione industriale|Hans Gross, Jens Hamann, Georg Wiegärtner|2002|9788848111713|isbns-scatolone3-pink.txt|
Fondamenti di elettronica digitale. Circuiti e sistemi|Luigi Antuono, Giorgio Sartori|???|8813162219|isbns-scatolone4.txt|https://www.libreriascolastica.it/libri-scuola/9788813162214/antuono_luigi/fondamenti_elettronica_digitale_circuiti_sistemi-cedam.htm
A Comprehensible Guide to Servo Motor Sizing|Wilfried Voss|2007|9780976511618|isbns-scatolone4.txt|
C Programming for Embedded Mmcrocontrollers|???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???|2009|9780905705804|isbns-scatolone4.txt|
Introduzione a Matlab|Delores M. Etter, David C. Kuncicky|2001|9788131720189|isbns-scatolone4.txt|
Microcontrollers|Ajit Pal|2012-11|9788120343924|isbns-scatolone4.txt|
The 8051-programming, Interfacing, Applications- 81 Hands-on Experiments with Intel's SDK-51|Howard Boyet, ROn Katz|2010|9788183333870|isbns-scatolone4.txt|
Advanced Electrical Drives|R. W. A. A. De Doncker|2011|9789400701793|isbns-scatolone4.txt|
Microprocessors and Microcontrollers|Krishna Kant|Sep 06, 2007|9788120331914|isbns-scatolone4.txt|
C and the 8051|Thomas W. Schultz|1998|137548397|isbns-scatolone4.txt|
The field orientation principle in control of induction motors|Andrzej Trzynadlowski|1994|792394208|isbns-scatolone4.txt|
